#Videos: id, id_parent (main video id), id_artist (from Artist table), name, video type (main/alternate/duplicate/dance), youtube link ID, views, likes, publishedon, lastupdate, dead (y means it was removed from youtube)
2259,2224,76,"Love Whisper","alternate","iA6zAZ4dYF8",3956244,64207,"2017-08-17","2018-11-14 11:26:02","n"
2260,0,149,"We young (chinese)","main","NKj8m95H0Ko",441813,31665,"2017-08-17","2018-11-14 11:27:44","n"
2261,0,55,"Lo ok","main","TIrr8sS_j4g",477084,15345,"2017-08-17","2018-11-14 11:29:42","n"
2262,0,165,"Rebirth","main","bLtRsfnTnlU",6275135,226510,"2017-08-18","2018-11-14 11:31:04","n"
2263,0,55,"Darling My Sugar","main","NpcrMhGsf_4",507068,15120,"2017-08-18","2018-11-14 11:32:02","n"
2264,2248,265,"Energetic","alternate","awtuTjNmYkI",4533972,153456,"2017-08-18","2018-11-14 11:33:01","n"
2265,0,38,"Brand new days","main","nQNRxO3LucI",758572,27760,"2017-08-21","2018-05-27 00:00:00","y"
2266,2252,177,"Friday Night","alternate","GBuAiQQGyQE",58809,3902,"2017-08-21","2018-11-14 11:34:01","n"
2267,0,267,"Freeze","main","ywAXliT2wKk",11690843,204881,"2017-08-22","2018-11-14 11:35:17","n"
2268,0,267,"Jjan! Koong! Kwang!","main","sE3z5Wjcw7E",4268754,68986,"2016-11-09","2018-11-14 11:36:02","n"
2269,0,267,"Wonderful love","main","TkSv0TkvTRs",5069855,70015,"2017-04-25","2018-11-14 11:38:02","n"
2270,0,268,"Gashina","main","ur0hCdne2-s",75874528,1048068,"2017-08-21","2018-11-15 04:53:36","n"
2271,0,268,"Full Moon","main","8BBF3vRY85M",20427579,209011,"2014-02-16","2018-11-15 07:54:02","n"
2272,0,268,"24 hours","main","2UmDrsMlXXg",10239731,130013,"2013-08-20","2018-11-15 10:13:58","n"
2273,0,93,"Babe","main","9fiLbAJkP04",11994109,250394,"2017-08-29","2018-11-15 10:04:02","n"
2274,0,231,"In the Time spent with you","main","UE9s3UBBqT4",56542,1031,"2017-08-25","2018-11-14 11:39:39","n"
2275,0,88,"Always","main","r5VgR6oZwKI",1047502,9920,"2017-08-27","2018-11-14 11:43:36","n"
2276,0,269,"Whisper","main","mLA5fX3JdN4",612456,32450,"2017-08-28","2018-11-14 11:44:02","n"
2277,2273,93,"Babe","duplicate","b9xndFqGJ4k",10516640,218563,"2017-08-29","2018-11-15 10:10:02","n"
2278,0,125,"Aalow Aalow","main","u3_QjEIyxCQ",308786,8081,"2015-12-01","2018-11-14 11:46:01","n"
2279,0,156,"We like","main","J6LAzgZi8N8",13302547,228237,"2017-08-23","2018-11-14 11:48:02","n"
2280,2279,156,"We like","alternate","xTcaN1Xl4l4",2091483,57496,"2017-08-31","2018-11-14 11:55:39","n"
2281,0,49,"Last Festival","main","pamVJNa6jI0",45305,1138,"2017-08-31","2018-11-12 23:17:35","n"
2282,0,61,"Power","main","sGRv8ZBLuW0",62509981,1728974,"2017-09-05","2018-11-15 08:51:05","n"
2283,0,61,"Power (chinese version)","main","b7WvJmMmrbw",3422131,272003,"2017-09-05","2018-11-14 11:56:02","n"
2284,0,22,"Honeymoon","main","GWaS65enwpA",2177775,131746,"2017-09-05","2018-11-14 12:04:07","n"
2285,0,178,"The Blue Night of Jeju Island","main","WToN-OBAI9A",617721,19334,"2017-09-07","2018-11-14 12:44:08","n"
2286,2285,178,"The Blue Night of Jeju Island","main","HAxQdtnse58",372716,12550,"2017-09-07","2018-11-14 12:56:07","n"
2287,0,255,"Manito","main","tvxrO2bAw9g",587552,21303,"2017-09-09","2018-11-14 14:00:02","n"
2288,0,149,"My page","main","lul81M-Bsx8",411364,49529,"2017-09-07","2018-11-14 14:02:02","n"
2289,0,252,"Pow Pow","main","EZykwRqGzzo",1801065,51637,"2017-09-12","2018-11-14 14:04:02","n"
2290,0,76,"Summer Rain","main","ZsYwEV_ge4Y",16213491,226377,"2017-09-13","2018-11-14 14:06:02","n"
2291,0,98,"Last Night Story","main","cxcxskPKtiI",10781999,159156,"2017-09-22","2018-11-15 10:08:01","n"
2292,0,266,"Smile","main","eijTpIN6tsA",749517,27368,"2017-09-21","2018-11-14 14:08:02","n"
2293,2290,76,"Summer Rain","alternate","5I_JhlSj23A",1331210,43034,"2017-09-20","2018-11-14 14:10:02","n"
2294,0,19,"Take my hand","main","NiFb3zqOHLM",321372,8132,"2017-09-20","2018-11-14 14:12:02","n"
2295,0,54,"I Loved You","main","EwLMA5XYnKI",9922834,282159,"2017-09-05","2018-11-14 14:14:01","n"
2296,0,40,"DNA","main","MBdVXkSdhwU",545963378,7059056,"2017-09-18","2018-11-15 04:09:02","n"
2297,0,98,"Sleepless Rainy Night","main","m7mvpe1fVa4",10068614,110276,"2017-09-22","2018-11-15 10:16:01","n"
2298,0,98,"Only I didn&#39;t know","main","UpuWJr821rY",5635937,30915,"2011-02-16","2018-11-14 14:16:01","n"
2299,2298,98,"Only I didn&#39;t know (IU version)","duplicate","qGWZUtfV3IU",5173890,24505,"2011-02-22","2018-11-14 14:18:01","n"
2300,0,98,"Lost Child","main","0ZukHxqOA0o",3817601,26073,"2011-07-19","2018-11-14 14:20:02","n"
2301,0,98,"Boo","main","g3TP6XZ1Baw",2756008,8385,"2011-05-16","2018-11-14 14:22:01","n"
2302,0,98,"Marshmallow","main","slT80EySpKk",3927390,20653,"2011-05-16","2018-11-14 14:24:02","n"
2303,0,271,"I don&#39;t like your Girlfriend","main","bAsyhiaHzJQ",8702638,221698,"2017-08-08","2018-11-14 14:24:07","n"
2304,2303,271,"I don&#39;t like your Girlfriend","dance","4j6oUkq0c68",6338426,101030,"2017-09-01","2018-11-14 14:26:02","n"
2305,0,114,"Nonfiction","main","JL66ssCnpRY",387710,12232,"2017-09-26","2018-11-12 23:18:01","n"
2306,2308,86,"Can Be Better","duplicate","WZkGjxy-fz0",1665264,81889,"2017-10-16","2018-11-14 14:28:02","n"
2307,0,198,"Move","main","rcEyUNeZqmY",24696899,543446,"2017-10-16","2018-11-15 06:40:02","n"
2308,0,86,"Can Be Better","main","ZJy8tsVEo9I",4812462,184378,"2017-10-16","2018-11-14 14:32:02","n"
2309,0,38,"Missing You","main","4bykFvnRzno",11378909,204163,"2017-10-16","2018-11-14 14:34:03","n"
2310,0,55,"Good night","main","V8wMfIayEnc",1212924,30772,"2017-10-12","2018-11-14 14:34:09","n"
2311,1883,32,"My Zone","alternate","ilpfcI_4L2g",5882935,26058,"2017-10-12","2018-11-14 14:36:01","n"
2312,0,270,"O sole mio","main","GDkjmQv4PXg",563514,41057,"2017-10-12","2018-11-14 14:36:07","n"
2313,0,272,"Juliette","main","NMQ-cj2-3u0",712497,34745,"2017-10-12","2018-11-15 11:19:14","n"
2314,0,80,"You Are","main","ktc8XDBq93k",61147535,1407893,"2017-10-09","2018-11-15 14:03:25","n"
