#Artists: id, name, hangul/stylized name, members (female|male|coed), issolo (y|n), id_parentgroup (0 to none), formation date, disband date, social media accounts (semicolon separated list), followers (PHP serialize), followerstop (max followers ever registered)
78,"Girls' Generation","소녀시대","female","n",0,"2007","2017","K=Girls%27_Generation;W=girlsgeneration.smtown.com;F=girlsgeneration;T=girlsgeneration;U=GIRLSGENERATION;I=girlsgeneration","a:4:{s:1:"T";s:7:"3327818";s:1:"F";d:7000000;s:1:"Y";s:7:"1782280";s:1:"I";s:6:"409344";}",12519442
79,"Girls&#39; Generation TTS","","female","n",78,"2012","","","",0
80,"GOT7","갓세븐","male","n",0,"2014","","K=Got7;T=got7official;F=GOT7Official;W=got7.jype.com;V=ECDF;VS=7;U=got7SMEJ;I=got7.with.igot7","a:5:{s:2:"VS";i:5311347;s:1:"T";s:7:"5769197";s:1:"F";d:2000000;s:1:"Y";s:6:"340437";s:1:"I";s:7:"3120824";}",17791601
81,"Gugudan","구구단","female","n",0,"2016","","K=Gugudan;T=gu9udan;W=cafe.daum.net/gu9udan;F=gu9udan;V=F0F1C7;VS=228","a:3:{s:2:"VS";i:227378;s:1:"T";s:6:"130416";s:1:"F";d:110000;}",467794
82,"Goo Hara","구하라","female","y",117,"","","K=Goo_Hara;F=Official.HaraGoo.KARA","a:1:{s:1:"F";d:17442;}",17444
83,"Hellovenus","헬로비너스","female","n",0,"2012","","K=Hello_Venus;W=www.fantagio.kr/artists/hellovenus;F=chHelloVenus;T=chhellovenus","a:2:{s:1:"T";s:5:"78467";s:1:"F";d:557000;}",641037
84,"Henry","劉憲華","male","y",191,"","","K=Henry_Lau;F=HenrysStrings;T=henrylau89","a:2:{s:1:"T";s:7:"3348415";s:1:"F";d:517000;}",3898912
85,"HI SUHYUN","","female","n",0,"","","","",0
86,"Highlight","하이라이트","male","n",26,"2017","","K=Highlight_(band);F=beast.unitedcube;T=b2st_official;V=E9A2B1;VS=345;I=yysbeast","a:4:{s:2:"VS";i:476121;s:1:"T";s:4:"2484";s:1:"F";d:1000000;s:1:"I";s:7:"1312838";}",2851688
87,"History","히스토리","male","n",0,"2013","2017","K=History_(band);U=HISTORYloen","a:1:{s:1:"Y";s:5:"10712";}",10712
88,"Hyolyn","김효정","female","y",174,"","","K=Hyolyn;F=hyolyn.official;T=officialhyolyn_;V=D734FF;VS=640","a:3:{s:2:"VS";i:24006;s:1:"T";s:5:"14935";s:1:"F";d:34415;}",73356
89,"Hyolyn + Bumkey + JooYoung","","coed","n",0,"","","","",0
90,"Hyolyn + JooYoung","","coed","n",0,"","","","",0
91,"Hyolyn + Zico + Paloalto","","coed","n",0,"","","","",0
92,"Hyukoh","혁오","male","n",0,"","","K=Hyukoh;T=hyukohh","a:1:{s:1:"T";s:5:"43834";}",43891
93,"Hyuna","현아","female","y",7,"2011","","K=Hyuna;W=cafe.daum.net/cube-hyuna;F=hyuna.unitedcube;V=F071D7;VS=236","a:2:{s:2:"VS";i:423583;s:1:"F";d:71620;}",495203
94,"I.O.I","아이오아이","female","n",0,"2016","2017","K=I.O.I;F=ioi.official.page","a:1:{s:1:"F";d:119000;}",119850
95,"iKON","아이콘","male","n",0,"","","K=IKon_(South_Korean_band);F=OfficialYGiKON;T=ikon_yg;V=FD241;VS=33;I=withikonic","a:4:{s:2:"VS";i:3090802;s:1:"T";s:6:"243728";s:1:"I";s:7:"2519718";s:1:"F";d:1000000;}",6854248
96,"Infinite","인피니트","male","n",0,"2010","","K=Infinite_(band);F=ifnt7;T=Official_IFNT;W=woolliment.phps.kr/artists/main_infinite.php;V=FE815;VS=11;I=official_ifnt_","a:4:{s:2:"VS";i:2025224;s:1:"T";s:6:"687335";s:1:"I";s:6:"373220";s:1:"F";d:3000000;}",6085779
97,"Infinite H","","male","n",96,"2013","","","",0
98,"IU","이지은","female","y",0,"2008","","K=IU_(singer);F=iu.loen;T=_IUofficial;W=ifaveent.co.kr/?p=11;V=FA895;VS=75;I=dlwlrma","a:4:{s:2:"VS";i:1812755;s:1:"T";s:7:"1151291";s:1:"F";d:3000000;s:1:"I";s:7:"6833309";}",12797355
99,"IU + Fiestar","","female","n",0,"","","","",0
100,"IU + HIGH4","","coed","n",0,"","","","",0
101,"IU + Yoon Hyun Sang","","coed","n",0,"","","","",0
102,"J-Min","오지민","female","y",0,"","","K=J-Min;F=JMin.smtown;W=j-min.smtown.com;T=oh_jimin","a:2:{s:1:"T";s:5:"41993";s:1:"F";d:4071;}",46274
103,"Jenyer","전지윤","female","y",7,"2016","","K=Jeon_Ji-yoon;V=E4435D;VS=431;T=officialJenyer","a:2:{s:2:"VS";i:11550;s:1:"T";s:4:"4142";}",15692
104,"Jessica","정수연","female","y",78,"2016","","K=Jessica_Jung;T=syjessicca;V=F3517B;VS=190","a:2:{s:2:"VS";i:658057;s:1:"T";s:4:"4957";}",663014
105,"Jimin","신지민","female","y",16,"2016","","K=Shin_Ji-min;W=fncent.com/JIMIN","",0
106,"Park Jimin","박지민","female","y",241,"2012","","K=Park_Ji-min;I=jiminxjamie;T=jiminpark07","a:2:{s:1:"T";s:6:"581286";s:1:"I";s:6:"890355";}",1471942
107,"JJ Project","제이제이 프로젝트","male","n",80,"2012","","K=JJ_Project;W=jjproject.jype.com;","",0
108,"JJCC","제이제이씨씨","male","n",0,"","","K=JJCC;T=officialjjcc;W=cafe.daum.net/doublejc;F=DoubleJCofficial;V=FA699;VS=77","a:3:{s:2:"VS";i:121720;s:1:"T";s:5:"27594";s:1:"F";d:41946;}",191682
109,"Jonghyun","김종현","male","y",172,"2008","2017","K=Kim_Jong-hyun_(singer)","",0
110,"JUNIEL","최서아","female","y",0,"","","K=Juniel;T=junielism;F=officialjuniel;V=DC2461;VS=561","a:3:{s:2:"VS";i:6633;s:1:"T";s:6:"202002";s:1:"F";d:309000;}",523674
111,"JYJ","","male","n",207,"2010","","K=JYJ;F=CJESJYJ;W=www.c-jes.com","a:1:{s:1:"F";d:4000000;}",4000000
112,"JYPark","박진영","male","y",0,"","","K=J._Y._Park;F=followjyp;W=jyp.jype.com;T=followjyp","a:2:{s:1:"T";s:6:"928047";s:1:"F";d:518000;}",1458542
113,"K.A.R.D","카드","coed","n",0,"","","K=Kard_(band);W=www.kard-official.com;F=officialkard;T=kard_official;V=E6431D;VS=399;I=official_kard","a:4:{s:2:"VS";i:612966;s:1:"T";s:6:"371336";s:1:"F";d:411000;s:1:"I";s:7:"1848675";}",3243977
114,"K.will","케이윌","male","y",0,"2007","","K=K.Will;F=officialkwill","a:1:{s:1:"F";d:4000000;}",5000000
115,"K.will + Baekhyun","","male","n",0,"","","","",0
116,"K.will + Davichi","","coed","n",0,"","","","",0
